"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races"
"400C100US03250","Arvin, CA Urban Cluster (2010)","21214","161","18478","621","323","214","75","68","29","25","71","112","1953","516","285","116","207","107","78","56"
"400C100US03277","Ashburn, GA Urban Cluster (2010)","4142","348","1220","249","2901","306","8","15","0","13","0","13","8","15","5","28","0","13","5","28"
"400C100US03304","Ashdown, AR Urban Cluster (2010)","3919","218","2608","262","1206","197","48","45","0","11","0","11","0","11","57","59","0","11","57","59"
"400C100US03331","Asheboro, NC Urban Cluster (2010)","39075","849","28764","1044","4297","549","233","219","429","203","0","25","4280","934","1072","393","193","122","879","378"
"400C100US03358","Asheville, NC Urbanized Area (2010)","294536","2229","259147","2538","19356","1008","975","233","4073","426","274","161","4140","1069","6571","973","792","384","5779","813"
"400C100US03365","Ashland, MO Urban Cluster (2010)","3501","340","3314","356","23","24","0","11","8","14","0","11","61","94","95","124","0","11","95","124"
"400C100US03375","Ashland, NE Urban Cluster (2010)","2657","260","2543","256","25","22","0","9","24","17","0","9","0","9","65","42","0","9","65","42"
"400C100US03385","Ashland, OH Urban Cluster (2010)","20262","115","19305","187","329","93","4","9","198","105","0","21","36","29","390","134","11","19","379","135"
"400C100US03395","Ashland, PA Urban Cluster (2010)","7143","375","5881","417","890","143","89","54","0","15","0","15","168","79","115","67","48","36","67","56"
"400C100US03412","Ashland, WI Urban Cluster (2010)","7164","200","6240","209","51","51","587","140","34","34","0","12","30","41","222","97","0","12","222","97"
"400C100US03439","Ashland City, TN Urban Cluster (2010)","3425","270","3174","297","147","125","2","4","13","21","0","12","30","38","59","42","12","20","47","39"
"400C100US03466","Ashtabula, OH Urban Cluster (2010)","28341","376","24509","525","2132","344","142","89","133","73","34","44","178","134","1213","308","151","134","1062","246"
"400C100US03493","Ashville, OH Urban Cluster (2010)","6498","388","6200","425","16","23","24","26","0","16","0","16","7","11","251","136","0","16","251","136"
"400C100US03520","Aspen, CO Urban Cluster (2010)","8486","334","7689","421","178","137","33","37","246","185","0","17","246","210","94","74","10","23","84","72"
"400C100US03547","Astoria, OR Urban Cluster (2010)","14098","339","12619","460","93","68","168","143","116","59","24","22","282","211","796","206","85","70","711","198"
"400C100US03601","Atchison, KS--MO Urban Cluster (2010)","10816","281","9541","274","411","178","63","52","40","29","9","12","33","24","719","253","17","20","702","252"
"400C100US03655","Athens, AL Urban Cluster (2010)","27383","1196","21361","1130","4232","604","270","150","411","344","62","62","413","333","634","237","37","56","597","233"
"400C100US03682","Athens, OH Urban Cluster (2010)","28106","570","23952","568","1106","156","117","231","1646","222","48","53","193","126","1044","249","27","36","1017","248"
"400C100US03709","Athens, TN Urban Cluster (2010)","15941","561","13876","577","1151","223","88","74","63","60","6","11","315","173","442","162","55","97","387","144"
