"topic","term","beta"
2,"advis",0.00028735789201431
3,"advis",0.000580580468114601
4,"advis",0.000189684635639147
1,"advisor",0.00013588352277029
2,"advisor",0.000129603645628573
3,"advisor",0.000145306684696189
4,"advisor",0.000196595662891921
1,"advisori",0.000201272778764471
2,"advisori",6.90965379020795e-05
3,"advisori",0.000200042576049719
4,"advisori",0.000105259102890612
1,"af",0.000209784001613818
2,"af",0.000190556555444684
3,"af",0.000197566763611241
4,"af",3.22454957377504e-05
1,"affect",0.00167522607358599
2,"affect",0.000818806013826015
3,"affect",0.00105418923265497
4,"affect",0.000655789192791885
1,"afford",0.00020768790102476
2,"afford",0.000118259362598258
3,"afford",0.000125845989316591
4,"afford",0.000151469164080703
1,"afg",0.000182708102556263
2,"afg",0.000112341935050594
3,"afg",0.000225884126691993
4,"afg",7.22636344835287e-05
1,"afghanistan",1.30354322686164e-05
2,"afghanistan",0.000110355269585823
3,"afghanistan",0.000221181028532022
4,"afghanistan",0.000249343778110129
1,"africa",0.000853305768998476
2,"africa",0.000262361035350623
3,"africa",8.98221750120481e-06
4,"africa",0.000108655776913955
1,"african",0.000843069013873602
2,"african",0.000358734901991257
3,"african",0.000177262516035368
4,"african",0.00044608734495139
1,"age",0.00218923517392082
2,"age",0.000808677828793491
3,"age",0.000644722293755901
4,"age",2.27376395777644e-05
1,"agenc",7.3257112688449e-05
2,"agenc",0.000222785157487421
3,"agenc",0.00010235659765126
4,"agenc",0.000815844944473801
1,"agenda",2.98164458710656e-05
2,"agenda",3.70609640834375e-05
3,"agenda",0.00021711947159224
4,"agenda",0.000277302590218966
1,"aggress",1.97920653410556e-05
2,"aggress",0.000175500260135708
3,"aggress",0.000165240276621818
4,"aggress",0.000266737249579967
1,"ago",0.000201980704047627
2,"ago",0.000248467211954957
3,"ago",4.12157474918906e-05
4,"ago",0.000176341815978643
1,"agoromchelsea",0.000154498299955521
2,"agoromchelsea",0.000182011737289658
3,"agoromchelsea",0.000180136302682671
4,"agoromchelsea",0.000111413857358998
1,"agre",9.85149191146647e-05
2,"agre",0.000242028917644735
3,"agre",0.000482723337625439
4,"agre",0.000370504431536176
1,"ahead",0.000180353160946082
2,"ahead",0.000474943033192285
3,"ahead",0.00033598217775812
4,"ahead",0.000317274096107379
1,"ai",0.000121654220351437
2,"ai",0.000375942733713555
3,"ai",0.000181817894003913
4,"ai",3.55484314611436e-05
1,"aid",0.0010267587763813
2,"aid",0.000700169268766242
3,"aid",2.09907343234608e-05
4,"aid",0.000801984368568921
1,"aim",0.00011527224403713
2,"aim",0.000206165579977776
3,"aim",0.000192255478105803
4,"aim",0.000124544455056957
1,"air",0.000838498029441697
2,"air",0.000670822743879886
3,"air",0.000371353031615342
4,"air",0.00119229263761954
1,"aircraft",0.000260332372106166
2,"aircraft",0.000205550541708652
3,"aircraft",9.02099518359578e-05
4,"aircraft",8.85543029067003e-05
1,"airlin",0.000509612232940204
2,"airlin",5.31820049794345e-05
3,"airlin",0.000303083616770929
4,"airlin",0.000254000779678259
1,"airport",0.000511705519822298
2,"airport",0.000355873294501353
3,"airport",0.000662598406480454
4,"airport",0.000259262810104492
